id,name,contact,address,city,postalCode,country,createdAt,updatedAt,deletedAt
202d94f8-e956-43aa-901c-027ce674ebb9,Alfreds Futterkiste,Maria Anders,Obere Str. 57,Berlin,12209,Germany,2024-07-01,2024-07-01,NULL
3ccdbf0d-2dd9-4321-9eff-f0c7967cc63a,Ana Trujillo Emparedados y helados,Ana Trujillo,Avda. de la Constitución 2222,México D.F.,05021,Mexico,2024-07-01,2024-07-01,NULL
47d09887-f89c-429a-b546-da8113e861d5,Antonio Moreno Taquería,Antonio Moreno,Mataderos 2312,México D.F.,05023,Mexico,2024-07-01,2024-07-01,NULL
f82ed131-de2d-48bd-8863-4e0be976da6e,Around the Horn,Thomas Hardy,120 Hanover Sq.,London,WA1 1DP,UK,2024-07-01,2024-07-01,NULL
7452569d-0f2b-4807-bc8c-1b34eb71baf0,Berglunds snabbköp,Christina Berglund,Berguvsvägen 8,Luleå,S-958 22,Sweden,2024-07-01,2024-07-01,NULL
74c96c4d-d467-4789-a079-fcad5be80b99,Blauer See Delikatessen,Hanna Moos,Forsterstr. 57,Mannheim,68306,Germany,2024-07-01,2024-07-01,NULL
cf1cd9a4-de96-4f6d-af3a-2abede33817e,Blondel père et fils,Frédérique Citeaux,"24, place Kléber",Strasbourg,67000,France,2024-07-01,2024-07-01,NULL
8a972a75-d3d3-4605-a7ef-ce267bad1a4b,Bólido Comidas preparadas,Martín Sommer,"C/ Araquil, 67",Madrid,28023,Spain,2024-07-01,2024-07-01,NULL
27b9dcf8-c033-40ab-9279-dea1945f8160,Bon app',Laurence Lebihans,"12, rue des Bouchers",Marseille,13008,France,2024-07-01,2024-07-01,NULL
f196bcdc-1ec3-4999-bc3e-90f5126647f3,Bottom-Dollar Marketse,Elizabeth Lincoln,23 Tsawassen Blvd.,Tsawassen,T2F 8M4,Canada,2024-07-01,2024-07-01,NULL
9e78cd82-2c53-4514-88b4-d4b7b8ae3903,B's Beverages,Victoria Ashworth,Fauntleroy Circus,London,EC2 5NT,UK,2024-07-01,2024-07-01,NULL
