id,name,contact,address,city,postalCode,country,phone
e92d9e99-0bc0-46d3-a291-8a2f5843f248,Exotic Liquid,Charlotte Cooper,49 Gilbert St.,Londona,EC1 4SD,UK,(171) 555-2222
5223c528-a1bc-41b0-a836-d16564e1fbb1,New Orleans Cajun Delights,Shelley Burke,P.O. Box 78934,New Orleans,70117,USA,(100) 555-4822
e7eabba4-8262-4b83-9948-89309035f739,Grandma Kelly's Homestead,Regina Murphy,707 Oxford Rd.,Ann Arbor,48104,USA,(313) 555-5735
3e336223-ec9b-4a85-9065-1d86a5b19a15,Tokyo Traders,Yoshi Nagase,9-8 Sekimai Musashino-shi,Tokyo,100,Japan,(03) 3555-5011
9f8d50e6-dcdf-4810-99b0-7b5e594fc971,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Calle del Rosal 4,Oviedo,33007,Spain,(98) 598 76 54
87a5f284-8623-4488-9361-42939c23df69,Mayumi's,Mayumi Ohno,92 Setsuko Chuo-ku,Osaka,545,Japan,(06) 431-7877
809102be-a03d-4cd8-bc27-48b3bf4fac60,"Pavlova, Ltd.",Ian Devling,74 Rose St. Moonie Ponds,Melbourne,3058,Australia,(03) 444-2343
50f635b9-7426-4358-ae07-fad9ddb29abf,"Specialty Biscuits, Ltd.",Peter Wilson,29 King's Way,Manchester,M14 GSD,UK,(161) 555-4448
15a50b22-4b56-4a7d-ae2a-14c5bd4a2480,PB Knäckebröd AB,Lars Peterson,Kaloadagatan 13,Göteborg,S-345 67,Sweden,031-987 65 43
196e03cc-df27-4750-b6fb-4fd5757ff04a,Refrescos Americanas LTDA,Carlos Diaz,Av. das Americanas 12.890,São Paulo,5442,Brazil,(11) 555 4640
04442aff-8876-46af-a7e5-bc403636525b,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Tiergartenstraße 5,Berlin,10785,Germany,(010) 9984510
42e26477-e082-461f-9ba2-d43eaf5a0896,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,Bogenallee 51,Frankfurt,60439,Germany,(069) 992755
25ee82b2-f972-4e83-b7e6-533864f584a0,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Frahmredder 112a,Cuxhaven,27478,Germany,(04721) 8713
aa1975ec-8091-4baf-88ab-ddf500d31715,Formaggi Fortini s.r.l.,Elio Rossi,"Viale Dante, 75",Ravenna,48100,Italy,(0544) 60323
04d051b2-c241-42a5-b324-dccc5ef66fe6,Norske Meierier,Beate Vileid,Hatlevegen 5,Sandvika,1320,Norway,(0)2-953010
14b901c7-0fb6-4f54-b742-597a8e6ff4d8,Bigfoot Breweries,Cheryl Saylor,3400 - 8th Avenue Suite 210,Bend,97101,USA,(503) 555-9931
9fa7ed2e-05d6-494d-9e4c-377d99601a46,Svensk Sjöföda AB,Michael Björn,Brovallavägen 231,Stockholm,S-123 45,Sweden,08-123 45 67
f159a579-e2ca-4c14-aee7-39bad5938713,Aux joyeux ecclésiastiques,Guylène Nodier,"203, Rue des Francs-Bourgeois",Paris,75004,France,(1) 03.83.00.68
f0b254f8-e6b4-46a0-be22-e1c8c2fc831d,New England Seafood Cannery,Robb Merchant,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,02134,USA,(617) 555-3267
0aa0da53-e103-44f1-b668-f6d00bfa6cbb,Leka Trading,Chandra Leka,"471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787
477518b1-a6c6-4a0e-af42-89393f6c65ed,Lyngbysild,Niels Petersen,Lyngbysild Fiskebakken 10,Lyngby,2800,Denmark,43844108
1760d7d5-8c83-4de2-b933-4ef0ba50c8f7,Zaanse Snoepfabriek,Dirk Luchte,Verkoop Rijnweg 22,Zaandam,9999 ZZ,Netherlands,(12345) 1212
06f3c332-db72-49c2-b471-f577b17ef790,Karkki Oy,Anne Heikkonen,Valtakatu 12,Lappeenranta,53120,Finland,(953) 10956
ef1eb502-6788-4418-b480-436012ee3898,"G'day, Mate",Wendy Mackenzie,170 Prince Edward Parade Hunter's Hill,Sydney,2042,Australia,(02) 555-5914
5d98ba8a-7ffa-4788-b9ca-1dccb740e4bb,Ma Maison,Jean-Guy Lauzon,2960 Rue St. Laurent,Montréal,H1J 1C3,Canada,(514) 555-9022
0ed1e80e-7fce-42bb-84cd-8245dc61bb28,Pasta Buttini s.r.l.,Giovanni Giudici,"Via dei Gelsomini, 153",Salerno,84100,Italy,(089) 6547665
2a309f18-9cc0-408d-ab5f-5844b853dd33,Escargots Nouveaux,Marie Delamare,"22, rue H. Voiron",Montceau,71300,France,85.57.00.07
96379467-81f0-4a4e-a313-3b5710219467,Gai pâturage,Eliane Noz,"Bat. B 3, rue des Alpes",Annecy,74000,France,38.76.98.06
7a295fdc-e9f1-4ab4-97af-f6ddcf3fb902,Forêts d'érables,Chantal Goulet,148 rue Chasseur,Ste-Hyacinthe,J2S 7S8,Canada,(514) 555-2955
